sector,monto_financiado,num_rondas,tamano_equipo,exp_fundadores,presencia_redes,ubicacion,inversores_destacados,descripcion,tiempo_fundacion,estado_operativo,viabilidad
 Fintech,3356599.5,5.0,29.0,0.6,35.5,Bogotá,0.0,sin modelo de ingresos definido,2024.0,cerrado,0
 Fintech,6094121.2,2.0,43.0,4.5,21.7,Arequipa,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. operando en el mercado. tracción probada: piloto pagado en Arequipa. MVP listo y primeros beta testers,2013.0,prototipo,1
EdTech,1915033.9,0.0,26.0,8.8,103.0, Piura ,0.0,financiamiento semilla cerrado. operando en el mercado. enfocado en E-commerce con enfoque B2C. sin modelo de ingresos definido,2007.0,activo,0
 Fintech ,500470.7,0.0,15.0,0.0,51.7,Bogotá,0.0,buena presencia en redes,2019-aprox,prototipo,0
Fintech,1105200.0,5.0,46.0,4.9,30.6,Cdmx ,0.0,operando en el mercado. cofundadores con 3+ años de experiencia en HealthTech. expansión a Lima en próximos meses. aún sin usuarios activos,2023.0,prototipo,1
healthtech,787926.6,1.0,9.0,0.0,72.7,Piura ,0.0,operando en el mercado. expansión a Cusco en próximos meses,2008.0,activo,0
 healthtech,6621446.6,5.0,46.0,5.5,74.2,Quito,0.0,financiamiento semilla cerrado. equipo con 6+ años de experiencia. operando en el mercado. enfocado en SaaS con enfoque app móvil,2013.0,cerrado,0
EdTech,4150682.3,4.0,38.0,0.0,58.0,Lima,Sí,enfocado en Travel con enfoque marketplace,2022.0,PROTOTIPO ,0
Healthtech ,3671519.2,0.0,47.0,4.6,40.6,Piura,Sí,enfocado en AI/ML con enfoque marketplace,2024.0,activo,1
AI/ML,3471041.8,2.0,25.0,3.8,64.1,Trujillo,1.0,operando en el mercado. cofundadores con 2+ años de experiencia en E-commerce. aún sin usuarios activos,2022.0,prototipo,0
EdTech,2394123.7,0.0,3.0,2.2,45.0,Quito,No,apoyo de inversores reconocidos. crecimiento mensual 29% y churn bajo. MVP listo y primeros beta testers,2025.0,Activo,0
 fintech,6543537.1,2.0,45.0,2.9,27.9,Santiago,0.0,financiamiento semilla cerrado. buena presencia en redes. equipo con 9+ años de experiencia. tracción probada: piloto pagado en CDMX. MVP listo y primeros beta testers,2007.0, En Pausa,0
Logistics,36329.4,1.0,13.0,5.7,41.0,Buenos Aires,1.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 7+ años de experiencia. aún sin usuarios activos,2013.0,activo,1
 Logistics,4620572.4,5.0,46.0,7.2,96.6,Bogotá,0.0,apoyo de inversores reconocidos. expansión a Bogotá en próximos meses,2013.0, Activo,1
SaaS,2746305.4,3.0,41.0,7.3,14.7,Quito ,0.0,buena presencia en redes. operando en el mercado. MRR de $3203 con 69 clentes activos,2024.0,prototipo,0
AI/ML,916339.9,2.0,28.0,2.6,59.1,Santiago,0.0,buena presencia en redes. operando en el mercado. expansión a Bogotá en próximos meses,2005/2006, activo,1
EdTech,9739370.2,5.0,46.0,5.4,156.0,Quito,1.0,financiamiento semilla cerrado. equipo con 8+ años de experiencia,2005.0,activo,1
SaaS,52301.2,0.0,46.0,0.7,54.5,quito ,1.0,equipo con 6+ años de experiencia. crecimiento mensual 9% y churn bajo. enfocado en Gaming con enfoque B2B. dependencia alta de marketing pago,2012.0, prototipo,0
 EdTech,2354767.9,1.0,22.0,10.1,46.3, Cusco,0.0,buena presencia en redes. equipo con 5+ años de experiencia. acuerdos B2B con 16 empresas y pipeline sólido. expansión a Buenos Aires en próximos meses,2011.0,en pausa,1
Fintech,1534068.1,5.0,6.0,7.1,71.6,Arequipa,0.0,equipo con 5+ años de experiencia. crecimiento mensual 24% y churn bajo. sin modelo de ingresos definido,2020.0,Prototipo ,0
E-Commerce ,2047739.9,1.0,43.0,1.5,42.0,Lima,0.0,operando en el mercado. cofundadores con 3+ años de experiencia en AgroTech. MVP listo y primeros beta testers. sin modelo de ingresos definido,2010.0,activo,1
HealthTech,1073306.8,0.0,34.0,8.2,52.1,Trujillo,No,equipo con 5+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en Cusco. expansión a Trujillo en próximos meses. aún sin usuarios activos,2018.0,activo,1
 E-commerce,5174016.3,5.0,9.0,1.7,71.6,Lima,No,equipo con 8+ años de experiencia. acuerdos B2B con 18 empresas y pipeline sólido. enfocado en Travel con enfoque marketplace,2019.0,Prototipo ,1
Travel,1872240.1,1.0,1.0,5.8,20.1, Buenos Aires ,Sí,equipo con 5+ años de experiencia. sin modelo de ingresos definido,2007.0,activo,1
 Healthtech,4141849.2,3.0,43.0,5.5,51.6,Trujillo,1.0,equipo con 5+ años de experiencia. operando en el mercado. MRR de $4453 con 68 clentes activos. enfocado en EdTech con enfoque app móvil,2008.0, Activo ,0
EdTech,845046.2,3.0,17.0,4.2,64.7,Piura,1.0,buena presencia en redes. operando en el mercado. cofundadores con 4+ años de experiencia en Gaming. expansión a Santiago en próximos meses. sin modelo de ingresos definido,2007.0,prototipo,1
E-commerce,1010620.0,2.0,40.0,1.4,45.5, Lima,1.0,equipo con 8+ años de experiencia. operando en el mercado. acuerdos B2B con 13 empresas y pipeline sólido. MVP listo y primeros beta testers,2015.0,en pausa,0
 Fintech,600679.5,1.0,26.0,2.8,26.0,Piura,0.0,equipo con 6+ años de experiencia. operando en el mercado,2018.0,prototipo,0
Fintech,1136600.2,5.0,41.0,4.5,17.5,Quito,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. MRR de $2644 con 128 clientes activos. MVP listo y primeros beta testers,2020.0,prototipo,1
E-commerce,3509337.7,2.0,49.0,5.1,10.2, Bogotá,0.0,tracción probada: piloto pagado en Quito. MVP listo y primeros beta testers,2012.0, prototipo,0
HealthTech,990904.7,4.0,4.0,4.0,36.1,Piura,0.0,financiamiento semilla cerrado. operando en el mercado. MRR de $3859 con 192 clientes activos,2023.0,activo,1
Fintech,1432139.1,4.0,7.0,2.1,23.9, Santiago,0.0,operando en el mercado. enfocado en AI/ML con enfoque B2B. aún sin usuarios activos,2015.0,prototipo,1
 EDTECH,991174.9,1.0,33.0,4.0,38.3,Bogotá,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. equipo con 6+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en Buenos Aires. expansión a Quito en próximos meses. aún sin usuarios activos,2014.0,activo,1
gaming,1500592.3,4.0,1.0,7.7,85.7, arequipa ,0.0,tracción probada: piloto pagado en Quito. MVP listo y primeros beta testers,2025.0,cerrado,0
Fintech ,3530882.0,0.0,30.0,1.0,39.6, arequipa,1.0,operando en el mercado,2023.0,prototipo,0
Fintech,131273.4,1.0,27.0,4.0,42.1,Lima,0.0,operando en el mercado. cofundadores con 2+ años de experiencia en HealthTech. enfocado en HealthTech con enfoque SaaS,2005.0,prototipo,0
Fintech,1718689.8,3.0,31.0,4.0,49.8,Quito ,1.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 6+ años de experiencia. operando en el mercado. cofundadores con 6+ años de experiencia en Travel. equipo parcial y tiempo limitado,2011/2012,prototipo,1
Gaming,144816.9,1.0,43.0,3.9,23.0,Lima,0.0,operando en el mercado. crecimiento mensual 13% y churn bajo. expansión a Bogotá en próximos meses. aún sin usuarios activos,2007-aprox,activo,0
Fintech,793640.4,1.0,25.0,3.2,38.4,Cdmx ,0.0,apoyo de inversores reconocidos. buena presencia en redes. operando en el mercado. tracción probada: piloto pagado en Piura. MVP listo y primeros beta testers,2014.0,activo,1
Fintech,1216839.3,0.0,43.0,3.9,57.2, arequipa,0.0,equipo con 5+ años de experiencia. operando en el mercado. acuerdos B2B con 14 empresas y pipeline sólido. MVP listo y primeros beta testers,2005.0, en pausa ,1
AgroTech,28448699.9,2.0,30.0,1.1,32.0,Santiago,Sí,apoyo de inversores reconocidos. buena presencia en redes. operando en el mercado. expansión a Lima en próximos meses,2009.0, En Pausa,1
Logistics,2902107.9,3.0,42.0,1.4,36.5,Trujillo,0.0,operando en el mercado. enfocado en AI/ML con enfoque B2B. aún sin usuarios activos,2013.0,prototipo ,1
AI/ML,8016097.3,2.0,35.0,3.4,57.6,PIURA,1.0,financiamiento semilla cerrado. buena presencia en redes. equipo con 5+ años de experiencia. acuerdos B2B con 9 empresas y pipeline sólido. MVP listo y primeros beta testers,2012.0,activo ,1
SaaS,5996953.2,0.0,10.0,1.8,54.4,Cusco,0.0,acuerdos B2B con 8 empresas y pipeline sólido. dependencia alta de marketing pago,2018.0,prototipo,0
LOGISTICS ,11429031.0,2.0,2.0,2.7,55.4,Cdmx,0.0,buena presencia en redes. tracción probada: piloto pagado en Bogotá. enfocado en AI/ML con enfoque app móvil,2013-aprox,cerrado,0
AgroTech,1333650.7,4.0,29.0,1.9,39.9,Arequipa ,0.0,equipo con 5+ años de experiencia. operando en el mercado. crecimiento mensual 17% y churn bajo. enfocado en Fintech con enfoque API-first. dependencia alta de marketing pago,2017.0,activo ,1
HealthTech,6953398.5,2.0,33.0,0.0,50.8,Buenos Aires,0.0,financiamiento semilla cerrado. acuerdos B2B con 3 empresas y pipeline sólido. MVP listo y primeros beta testers,2016.0,activo,1
e-commerce,3785551.3,2.0,13.0,5.7,61.9,Buenos Aires,0.0,buena presencia en redes. operando en el mercado. MRR de $16397 con 178 clientes activos. enfocado en AI/ML con enfoque app móvil. equipo parcial y tiempo limitado,2013.0,en pausa,0
E-commerce,682954.7,0.0,41.0,8.6,72.4,Piura,0.0,crecimiento mensual 25% y churn bajo. sin modelo de ingresos definido,2013-aprox,activo,0
 Healthtech ,495909.5,2.0,48.0,6.2,58.7,Arequipa ,No,apoyo de inversores reconocidos. operando en el mercado. acuerdos B2B con 15 empresas y pipeline sólido. expansión a Quito en próximos meses,2013.0, prototipo ,1
HealthTech,3442637.8,4.0,25.0,4.7,46.3,Lima,0.0,equipo con 6+ años de experiencia. equipo parcial y tiempo limitado,2017.0,en pausa,1
Saas,1538993.1,2.0,18.0,6.2,64.3,Arequipa,No,apoyo de inversores reconocidos. buena presencia en redes. MRR de $16844 con 157 clientes activos. expansión a Santiago en próximos meses,2025.0,cerrado,0
 Ai/Ml,7298160.0,1.0,34.0,4.1,52.1,Quito,0.0,buena presencia en redes. operando en el mercado. cofundadores con 4+ años de experiencia en Fintech,2020.0,activo,1
 AgroTech ,6722980.7,0.0,24.0,5.0,27.6,Trujillo,0.0,tracción probada: piloto pagado en Bogotá. MVP listo y primeros beta testers,2022.0,prototipo,0
Agrotech,1576507.6,0.0,42.0,10.6,89.7,Lima,0.0,equipo con 5+ años de experiencia. operando en el mercado. crecimiento mensual 8% y churn bajo. MVP listo y primeros beta testers,2013.0,activo,1
SaaS,5063540.2,0.0,41.0,4.7,160.0,Bogotá,0.0,equipo con 8+ años de experiencia. operando en el mercado. crecimiento mensual 5% y churn bajo. aún sin usuarios activos,2022.0,prototipo,1
Fintech,1598290.6,2.0,24.0,4.5,82.1,Quito,0.0,financiamiento semilla cerrado. operando en el mercado. expansión a Trujillo en próximos meses,2005.0,activo,0
EdTech,3644896.1,5.0,25.0,6.9,-2.4,Piura,0.0,apoyo de inversores reconocidos. enfocado en Logistics con enfoque app móvil,2014.0, EN PAUSA ,0
Gaming,10142137.8,0.0,19.0,4.1,59.8,Bogotá,1.0,buena presencia en redes. tracción probada: piloto pagado en Buenos Aires. enfocado en AI/ML con enfoque app móvil. equipo parcial y tiempo limitado,2023.0, cerrado ,1
Logistics ,837726.0,1.0,44.0,2.9,23.2,CDMX,0.0,buena presencia en redes. enfocado en EdTech con enfoque app móvil. aún sin usuarios activos,2021.0, en pausa ,0
Fintech ,11347376.2,2.0,30.0,8.2,34.8,Trujillo,0.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 5+ años de experiencia. cofundadores con 5+ años de experiencia en AI/ML. dependencia alta de marketing pago,2016.0,activo,1
Fintech,2538408.4,3.0,21.0,7.5,62.7,Piura,0.0,financiamiento semilla cerrado. equipo con 6+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en Quito. MVP listo y primeros beta testers. sin modelo de ingresos definido,2022.0,En Pausa ,0
Gaming,1197234.7,4.0,1.0,3.2,-5.3, Piura ,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. enfocado en EdTech con enfoque B2C,2005/2006, activo,0
HealthTech,5022344.7,0.0,15.0,5.0,65.3,Piura,No,financiamiento semilla cerrado. operando en el mercado. dependencia alta de marketing pago,2007.0,en pausa,1
SaaS,7409235.0,3.0,14.0,3.8,47.9,Cusco,0.0,financiamiento semilla cerrado. buena presencia en redes. operando en el mercado,2013/2014,activo,1
EdTech,1644497.8,2.0,32.0,4.1,-2.7,Cdmx ,0.0,apoyo de inversores reconocidos. MRR de $5569 con 98 clientes activos. MVP listo y primeros beta testers. sin modelo de ingresos definido,2015.0,activo,1
EdTech,5244844.7,1.0,22.0,4.8,84.8,Arequipa ,1.0,equipo con 6+ años de experiencia. operando en el mercado. crecimiento mensual 14% y churn bajo,2007.0,prototipo,1
 Logistics,1410903.0,3.0,44.0,9.9,22.5,trujillo ,0.0,apoyo de inversores reconocidos. equipo con 8+ años de experiencia. operando en el mercado. acuerdos B2B con 5 empresas y pipeline sólido,2006.0,activo,1
 e-commerce,34888945.1,3.0,50.0,4.9,55.2,Bogotá,1.0,equipo con 7+ años de experiencia. expansión a Buenos Aires en próximos meses. equipo parcial y tiempo limitado,2005.0,prototipo,1
Gaming,3457082.4,0.0,40.0,3.2,38.4,Piura,1.0,operando en el mercado. cofundadores con 1+ años de experiencia en AgroTech. aún sin usuarios activos,2019.0,activo,1
 fintech,2188245.9,0.0,15.0,3.0,32.6,Santiago,0.0,operando en el mercado. acuerdos B2B con 7 empresas y pipeline sólido,2012.0,activo,1
HealthTech,6261268.0,3.0,46.0,6.3,3.4,Buenos Aires,0.0,operando en el mercado. MVP listo y primeros beta testers. dependencia alta de marketing pago,2014.0,activo,1
 Logistics ,1380276.8,2.0,3.0,7.7,77.3,Bogotá ,0.0,buena presencia en redes. equipo con 9+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers,2024.0,activo,1
Fintech,10540002.8,2.0,50.0,3.3,50.5, LIMA ,0.0,operando en el mercado. cofundadores con 3+ años de experiencia en HealthTech. expansión a Lima en próximos meses. aún sin usuarios activos,2010.0,activo,1
Fintech,2553837.1,2.0,42.0,7.4,77.2,Santiago,1.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 6+ años de experiencia,2012.0, Activo ,1
 E-Commerce ,620554.5,4.0,7.0,6.7,133.6,Piura,1.0,operando en el mercado. crecimiento mensual 24% y churn bajo,2007.0,en pausa,1
Travel,1655836.0,1.0,3.0,2.9,50.3,Lima,0.0,buena presencia en redes. operando en el mercado. MVP listo y primeros beta testers. sin modelo de ingresos definido,2007-aprox, EN PAUSA ,0
 LOGISTICS,2343734.1,0.0,8.0,0.7,80.6,Buenos Aires,0.0,apoyo de inversores reconocidos. equipo con 6+ años de experiencia. crecimiento mensual 9% y churn bajo. MVP listo y primeros beta testers. aún sin usuarios activos,2005-aprox,activo,1
EdTech,3098163.2,1.0,14.0,5.0,16.6,Buenos Aires,0.0,dependencia alta de marketing pago,2025.0,en pausa,0
SaaS,4063593.8,0.0,13.0,1.2,30.3,Piura,1.0,MVP listo y primeros beta testers,2024.0,activo,0
Gaming ,504400.0,1.0,8.0,6.9,34.1,Quito,1.0,equipo con 5+ años de experiencia. MRR de $3904 con 136 clientes activos. enfocado en Fintech con enfoque marketplace. aún sin usuarios activos,2013.0,activo,0
 E-Commerce,611829.2,4.0,17.0,1.5,38.6,Piura,0.0,equipo con 6+ años de experiencia. acuerdos B2B con 18 empresas y pipeline sólido,2016.0,Activo ,0
EdTech,3459992.8,2.0,27.0,5.0,72.4, CUSCO,0.0,operando en el mercado. acuerdos B2B con 15 empresas y pipeline sólido. enfocado en E-commerce con enfoque API-first,2013.0, ACTIVO ,1
Fintech,5307333.4,2.0,18.0,0.3,93.6,Cusco,1.0,operando en el mercado. acuerdos B2B con 16 empresas y pipeline sólido,2019-aprox,activo,0
E-commerce,1153673.8,3.0,7.0,3.0,54.5,Lima,1.0,buena presencia en redes. operando en el mercado. tracción probada: piloto pagado en Buenos Aires. MVP listo y primeros beta testers,2025.0,prototipo,1
EDTECH,575069.8,4.0,40.0,2.8,160.0, Arequipa,1.0,buena presencia en redes. operando en el mercado. MRR de $5152 con 167 clientes activos. enfocado en AI/ML con enfoque SaaS. equipo parcial y tiempo limitado,2020.0,activo,1
 Logistics,2219737.9,1.0,11.0,4.0,42.9,Trujillo,0.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 7+ años de experiencia. operando en el mercado,2012.0,prototipo,1
 fintech ,2756738.2,1.0,7.0,1.2,41.4,Santiago,0.0,buena presencia en redes. operando en el mercado. tracción probada: piloto pagado en Arequipa. MVP listo y primeros beta testers,2007-aprox,activo,0
AI/ML,9408938.6,3.0,12.0,2.2,45.4,Santiago ,Sí,equipo con 6+ años de experiencia. enfocado en Fintech con enfoque B2C,2009.0, Prototipo,0
AgroTech,12166221.8,1.0,20.0,1.3,38.0,Buenos Aires,No,apoyo de inversores reconocidos. equipo con 7+ años de experiencia. MRR de $6259 con 179 clientes activos. aún sin usuarios activos,2011.0,activo,1
SaaS,386688.3,3.0,44.0,2.3,-10.0,Quito,0.0,apoyo de inversores reconocidos. operando en el mercado. expansión a Cusco en próximos meses. sin modelo de ingresos definido,2022.0,activo,0
E-commerce,3521300.8,2.0,29.0,4.3,37.2,Cusco,1.0,operando en el mercado. cofundadores con 3+ años de experiencia en SaaS. enfocado en SaaS con enfoque B2C. sin modelo de ingresos definido,2021-aprox,activo,1
Healthtech ,3100417.0,3.0,37.0,2.2,46.1, arequipa,0.0,apoyo de inversores reconocidos. operando en el mercado. acuerdos B2B con 18 empresas y pipeline sólido. expansión a Lima en próximos meses,2019-aprox,activo,0
Logistics,4647499.6,5.0,44.0,4.4,-2.8,Trujillo,0.0,operando en el mercado. aún sin usuarios activos,2008.0, Activo,0
 Saas ,3997449.9,1.0,22.0,5.4,45.4, cdmx ,Sí,equipo con 6+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers. aún sin usuarios activos,2010-aprox,prototipo,1
AI/ML,2140934.6,4.0,23.0,0.2,31.2, BUENOS AIRES ,No,operando en el mercado. crecimiento mensual 13% y churn bajo. expansión a Bogotá en próximos meses. aún sin usuarios activos,2010.0,en pausa,0
Fintech,1744400.2,4.0,13.0,5.5,97.5,Santiago,0.0,equipo con 6+ años de experiencia. operando en el mercado. expansión a Lima en próximos meses. sin modelo de ingresos definido,2008.0,activo ,1
HealthTech,4191775.8,4.0,2.0,6.2,25.2,Cusco,1.0,buena presencia en redes. operando en el mercado. expansión a Santiago en próximos meses,2017.0,prototipo,1
E-commerce,1460469.8,2.0,11.0,6.2,40.6, CDMX,0.0,equipo con 8+ años de experiencia,2012.0,activo,0
Logistics,4120702.1,3.0,10.0,4.3,84.9,Trujillo,0.0,expansión a Santiago en próximos meses. dependencia alta de marketing pago,2019.0,Prototipo ,1
saas,13002188.5,0.0,35.0,3.8,-10.0,CDMX,0.0,apoyo de inversores reconocidos. equipo con 6+ años de experiencia. cofundadores con 6+ años de experiencia en E-commerce. enfocado en E-commerce con enfoque app móvil,2014.0,Activo,1
Gaming,191997.4,3.0,49.0,0.0,60.7,Piura,0.0,buena presencia en redes. operando en el mercado. acuerdos B2B con 9 empresas y pipeline sólido. enfocado en AI/ML con enfoque B2C. aún sin usuarios activos,2016.0,activo,1
AI/ML,5732628.9,3.0,4.0,4.7,41.4,Quito,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. tracción probada: piloto pagado en Santiago. enfocado en Fintech con enfoque app móvil. equipo parcial y tiempo limitado,2016.0,activo,1
SaaS,5230554.0,5.0,38.0,6.0,39.7,Santiago,0.0,equipo con 6+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers. equipo parcial y tiempo limitado,2008.0,prototipo,0
 Fintech ,13721189.8,1.0,43.0,5.5,45.0,BOGOTÁ,0.0,equipo con 7+ años de experiencia. crecimiento mensual 25% y churn bajo. sin modelo de ingresos definido,2010/2011, Activo,1
 agrotech ,3935869.1,4.0,39.0,3.8,18.6,Arequipa,0.0,financiamiento semilla cerrado. equipo con 6+ años de experiencia. MRR de $6100 con 38 clientes activos. MVP listo y primeros beta testers,2023.0,activo,1
Fintech ,3302820.0,4.0,10.0,6.2,74.8,Quito,0.0,financiamiento semilla cerrado. equipo con 8+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers,2020.0, ACTIVO ,1
e-commerce,196397.1,4.0,14.0,7.1,54.6,Quito,1.0,equipo con 5+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers. dependencia alta de marketing pago,2015.0,prototipo,0
EdTech,435953.7,5.0,19.0,2.3,38.5,buenos aires,0.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 5+ años de experiencia,2014/2015,activo,1
SaaS,2810075.2,5.0,3.0,2.2,75.6,Bogotá,No,apoyo de inversores reconocidos. financiamiento semilla cerrado. cofundadores con 2+ años de experiencia en Fintech,2023.0,en pausa,0
 Ai/Ml ,811928.6,1.0,45.0,5.8,41.9,Quito,No,cofundadores con 1+ años de experiencia en EdTech. enfocado en EdTech con enfoque app móvil. aún sin usuarios activos,2010.0,activo,1
Fintech,16724691.2,4.0,7.0,5.9,73.7,Lima,0.0,equipo con 7+ años de experiencia. expansión a Quito en próximos meses,2005.0,activo,1
 Ai/Ml ,1512040.9,4.0,40.0,2.3,42.6,Trujillo,1.0,apoyo de inversores reconocidos. equipo con 7+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers,2018.0,activo,0
SaaS,1602239.6,4.0,18.0,1.3,18.7,Arequipa,0.0,equipo con 5+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers,2021.0,activo,0
Travel,2831419.7,0.0,6.0,4.6,59.0,CDMX,0.0,apoyo de inversores reconocidos. crecimiento mensual 25% y churn bajo. MVP listo y primeros beta testers. dependencia alta de marketing pago,2018.0,activo,0
 Ai/Ml ,6201983.7,0.0,22.0,6.8,7.5, santiago ,1.0,financiamiento semilla cerrado. operando en el mercado. enfocado en EdTech con enfoque app móvil,2022-aprox, activo,0
E-commerce,426748.7,1.0,33.0,4.6,21.7, Quito,0.0,apoyo de inversores reconocidos. operando en el mercado. expansión a Piura en próximos meses,2015.0,activo,1
SaaS,7777603.2,1.0,49.0,4.5,21.5,Piura ,0.0,acuerdos B2B con 18 empresas y pipeline sólido. enfocado en SaaS con enfoque marketplace. aún sin usuarios activos,2019.0,cerrado,0
AgroTech,1774110.2,0.0,13.0,4.4,2.7,Piura,1.0,apoyo de inversores reconocidos. operando en el mercado. tracción probada: piloto pagado en Lima,2005.0, activo ,0
e-commerce ,560681.8,3.0,47.0,1.9,42.5,Bogotá,0.0,tracción probada: piloto pagado en Bogotá. MVP listo y primeros beta testers,2018.0, ACTIVO ,0
Logistics ,4769945.1,1.0,49.0,6.9,43.0,Santiago,0.0,buena presencia en redes. crecimiento mensual 15% y churn bajo. aún sin usuarios activos,2017-aprox,activo,1
 E-Commerce ,1790138.0,0.0,24.0,4.5,28.8, Bogotá,0.0,apoyo de inversores reconocidos. operando en el mercado. MVP listo y primeros beta testers,2024.0,activo,1
E-commerce,1126088.6,1.0,33.0,4.4,44.7,Arequipa,0.0,financiamiento semilla cerrado. tracción probada: piloto pagado en CDMX. enfocado en AgroTech con enfoque marketplace. aún sin usuarios activos,2010/2011,prototipo ,0
HealthTech,5339065.8,2.0,21.0,3.8,23.2,Bogotá,0.0,financiamiento semilla cerrado. operando en el mercado. acuerdos B2B con 9 empresas y pipeline sólido. enfocado en EdTech con enfoque app móvil,2024.0, prototipo ,1
Logistics,326912.0,5.0,7.0,4.5,67.9, Cusco,0.0,operando en el mercado. tracción probada: piloto pagado en Santiago. expansión a Bogotá en próximos meses,2017.0,prototipo,0
SaaS,1186906.1,3.0,44.0,3.1,35.8,Santiago,0.0,operando en el mercado. expansión a Cusco en próximos meses. sin modelo de ingresos definido,2012.0,prototipo,0
EdTech,4503286.2,5.0,18.0,0.7,66.0,Bogotá,0.0,equipo con 6+ años de experiencia. operando en el mercado. MRR de $10320 con 24 clientes activos. enfocado en EdTech con enfoque B2B,2015.0,activo,0
AgroTech,1126116.8,4.0,7.0,7.0,37.7,Quito,0.0,acuerdos B2B con 5 empresas y pipeline sólido. enfocado en Logistics con enfoque B2B,2011.0,en pausa ,0
Fintech,2304322.7,3.0,5.0,4.6,48.1,Arequipa,0.0,financiamiento semilla cerrado. equipo con 5+ años de experiencia. acuerdos B2B con 3 empresas y pipeline sólido,2011.0,activo,1
SaaS,2890281.0,2.0,15.0,6.2,59.6,buenos aires,0.0,financiamiento semilla cerrado. operando en el mercado. acuerdos B2B con 3 empresas y pipeline sólido. enfocado en E-commerce con enfoque B2C,2010.0,activo,1
E-Commerce ,101338.2,0.0,1.0,3.6,31.9,Arequipa,1.0,MRR de $9211 con 108 clientes activos. expansión a Bogotá en próximos meses,2013-aprox,activo ,0
Ai/Ml,4044621.5,5.0,31.0,4.4,64.2,Santiago,0.0,financiamiento semilla cerrado. buena presencia en redes. equipo con 9+ años de experiencia. operando en el mercado. crecimiento mensual 8% y churn bajo. expansión a CDMX en próximos meses,2012.0, Prototipo ,1
EDTECH,942345.2,4.0,36.0,3.5,44.8,Cusco ,0.0,apoyo de inversores reconocidos. cofundadores con 3+ años de experiencia en Logistics. expansión a Quito en próximos meses,2023.0,activo,1
HealthTech,353776.4,2.0,36.0,4.5,58.3,Cusco,1.0,equipo con 8+ años de experiencia. crecimiento mensual 6% y churn bajo. enfocado en Logistics con enfoque SaaS,2016.0,en pausa,0
HealthTech,10795478.4,1.0,49.0,4.0,36.0,Santiago,0.0,buena presencia en redes. equipo con 6+ años de experiencia. cofundadores con 6+ años de experiencia en SaaS. enfocado en SaaS con enfoque app móvil. dependencia alta de marketing pago,2024.0,Activo,1
 healthtech,2128657.7,2.0,36.0,5.3,45.2, Santiago ,0.0,apoyo de inversores reconocidos. buena presencia en redes. operando en el mercado. enfocado en EdTech con enfoque SaaS. equipo parcial y tiempo limitado,2012.0,prototipo,0
 travel ,27932290.0,1.0,21.0,5.8,77.0, Quito ,Sí,apoyo de inversores reconocidos. equipo con 7+ años de experiencia. operando en el mercado. MRR de $3911 con 129 clientes activos. MVP listo y primeros beta testers,2005.0,prototipo,1
 E-Commerce,11624590.4,0.0,8.0,7.2,102.0,Bogotá,1.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 5+ años de experiencia. cofundadores con 5+ años de experiencia en AI/ML. dependencia alta de marketing pago,2020.0,prototipo,1
SaaS,15231721.9,1.0,5.0,4.4,26.4,Piura,0.0,apoyo de inversores reconocidos. operando en el mercado. MVP listo y primeros beta testers. equipo parcial y tiempo limitado,2005.0,en pausa,1
Ai/Ml ,212499.9,1.0,1.0,6.0,-10.0,Trujillo,0.0,financiamiento semilla cerrado. operando en el mercado. enfocado en Logistics con enfoque B2B. equipo parcial y tiempo limitado,2013.0,activo,0
E-commerce,3126252.8,2.0,10.0,4.9,47.4,Santiago,1.0,equipo con 6+ años de experiencia,2018.0,activo,1
AgroTech,1821257.9,3.0,30.0,0.1,12.2,buenos aires ,0.0,buena presencia en redes. enfocado en EdTech con enfoque app móvil. aún sin usuarios activos,2013.0,en pausa,0
HealthTech,3260677.5,1.0,22.0,3.1,35.8,Lima,0.0,equipo con 5+ años de experiencia. operando en el mercado. MRR de $4903 con 86 clientes activos,2014.0, PROTOTIPO ,1
Saas,1444058.3,3.0,43.0,3.9,87.5, Santiago,0.0,equipo con 5+ años de experiencia. operando en el mercado. acuerdos B2B con 14 empresas y pipeline sólido. MVP listo y primeros beta testers. aún sin usuarios activos,2006.0,cerrado,1
